parent_pzt,ref_pzt_id,ref_amount,ref_txn_time,ref_merchant_id,ref_status,ref_response_code,ref_response_message,ref_track_id,ref_txn_id,ref_arn,ref_gateway_status,ref_gateway_response_code,payment_instrument
PZT2402040717PADPU00,PZT2402040717PADPU03,500,2024-02-05 22:55:31,rcbp_flipkart,SUCCESS,SUCCESS,NA,PZT2402040717PADPU02,PZT2402040717PADPU03,OD4303866553103023-TX-00,PENDING,PENDING_ON_REFUND_REQUERY_AFTER_12HOURS,PHONEPE
PZT2402040717PADPU00,PZT2402040717PADPU04,500,2024-02-05 22:55:33,rcbp_flipkart,SUCCESS,SUCCESS,NA,PZT2402040717PADPU04,PZT2402040717PADPU04,PZT2402040717PADPU01,SUCCESS,SUCCESS,COIN
