Exact_Issue_Type,Group_SSI,Status_Group,ExactStatus,Ageing_OR_Q2R_Bucket,is_Fav,incident_id,dashboard_date
no_dues_but_getting_reminders,no_dues_but_getting_reminders,Solved,Solved,e. 120+ Hrs,Fav,1,26-May-2024
non_bnpl_case,non_bnpl_case,Solved,Solved,a. 00-24 Hrs,UnFav,1,26-May-2024
non_bnpl_case,non_bnpl_case,Solved,Solved,b. 25-48 Hrs,UnFav,2,26-May-2024
non_bnpl_case,non_bnpl_case,Solved,Solved,c. 49-72 Hrs,UnFav,1,26-May-2024
non_bnpl_case,non_bnpl_case,Solved,Solved,d. 73-120 Hrs,UnFav,1,26-May-2024
non_bnpl_case,non_bnpl_case,Solved,Solved,e. 120+ Hrs,UnFav,1,26-May-2024
order_rejected_by_fraud_team_pay_later_advanz,unable_to_place_order_by_both_emi_and_paylater,Solved,Solved,b. 25-48 Hrs,UnFav,1,26-May-2024
payback_done_not_updated,payback_done_not_updated,Open,ReOpenByL2,e. 120+ Hrs,Fav,1,26-May-2024
payback_done_not_updated,payback_done_not_updated,Solved,Solved,a. 00-24 Hrs,Fav,2,26-May-2024
personal_loan_related,personal_loan_related,Open,ReOpen,d. 73-120 Hrs,Fav,1,26-May-2024
recharge_related,recharge_related,Open,ReOpen,d. 73-120 Hrs,Fav,7,26-May-2024
recharge_related,recharge_related,Open,ReOpen,e. 120+ Hrs,Fav,3,26-May-2024
recharge_related,recharge_related,Open,ReOpenByL2,e. 120+ Hrs,Fav,11,26-May-2024
recharge_related,recharge_related,Solved,Solved,a. 00-24 Hrs,Fav,1,26-May-2024
recharge_related,recharge_related,Solved,Solved,b. 25-48 Hrs,Fav,3,26-May-2024
recharge_related,recharge_related,Solved,Solved,c. 49-72 Hrs,Fav,25,26-May-2024
recharge_related,recharge_related,Solved,Solved,d. 73-120 Hrs,Fav,36,26-May-2024
recharge_related,recharge_related,Solved,Solved,e. 120+ Hrs,Fav,13,26-May-2024
refund_not_processed,refund_not_processed,Open,ReOpenByL2,d. 73-120 Hrs,Fav,1,26-May-2024
refund_not_processed,refund_not_processed,Open,ReOpenByL2,e. 120+ Hrs,Fav,2,26-May-2024
refund_not_processed,refund_not_processed,Solved,Solved,d. 73-120 Hrs,Fav,1,26-May-2024
unable_to_complete_kyc,unable_to_complete_kyc,Solved,Solved,a. 00-24 Hrs,UnFav,1,26-May-2024
unable_to_complete_kyc,unable_to_complete_kyc,Solved,Solved,b. 25-48 Hrs,UnFav,1,26-May-2024
unable_to_pay_bill,unable_to_pay_bill,Solved,Solved,b. 25-48 Hrs,Fav,5,26-May-2024
unable_to_pay_bill,unable_to_pay_bill,Solved,Solved,e. 120+ Hrs,Fav,1,26-May-2024
unable_to_place_order,unable_to_place_order_by_both_emi_and_paylater,Open,ReOpen,c. 49-72 Hrs,UnFav,1,26-May-2024
unable_to_place_order,unable_to_place_order_by_both_emi_and_paylater,Solved,Solved,a. 00-24 Hrs,UnFav,4,26-May-2024
unable_to_place_order,unable_to_place_order_by_both_emi_and_paylater,Solved,Solved,b. 25-48 Hrs,UnFav,7,26-May-2024
unable_to_place_order,unable_to_place_order_by_both_emi_and_paylater,Solved,Solved,d. 73-120 Hrs,UnFav,1,26-May-2024
unable_to_place_order,unable_to_place_order_by_both_emi_and_paylater,Solved,Solved,e. 120+ Hrs,UnFav,1,26-May-2024
utility_issues,utility_issues,Solved,Solved,c. 49-72 Hrs,UnFav,1,26-May-2024
voc_not_clear,voc_not_clear,Solved,Solved,a. 00-24 Hrs,UnFav,1,26-May-2024
